Frequenz [Hz] & verstärkte Amplitude [V] & Nicht-verstärkte Amplitude [mV] & Phasenverschiebung [DEG]
10.00 ; 14.9 ; 123 ; 177
15.44 ; 14.9 ; 123 ; 178
23.85 ; 14.9 ; 123; 180
36.84 ; 14.9 ; 123 ; 180
56.90 ; 14.1 ; 123 ; 180
87.88 ; 14.9 ; 123 ; 180
135.72 ; 14.9 ; 123 ; 180
209.61 ; 14.8 ; 120 ; 180
323.74 ; 14.7 ; 117 ; 180
500 ; 14.8 ; 122 ; 177
564.42 ; 14.7 ; 124 ; 176
637.14 ; 14.7 ; 120 ; 174
719.22 ; 14.7 ; 120 ; 174
811.89 ; 14.7 ; 120 ; 173
916.49 ; 14.1 ; 105 ; 173
1034.57 ; 14.0 ; 115 ; 170
1167.86 ; 14.0 ; 110 ; 170
1318.33 ; 14.5; 100 ; 168
1488.18 ; 14.6 ; 120 ; 166
1679.91 ; 14.5 ; 120 ; 165
1896.35 ; 14.5 ; 120 ; 165
2140.67 ; 14.3 ; 117 ; 163
2416.47 ; 14.2 ; 115 ; 160
2727.80 ; 14.1 ; 117 ; 157
3079.24 ; 13.7 ; 120 ; 155
3475.96 ; 13.5 ; 120 ; 155
3923.80 ; 13.3 ; 121 ; 150 
4429.33 ; 12.9 ; 120 ; 145
5000 ; 12.5 ; 118 ; 140
